Gender,Department,City,Age,Salary,Experience_Years
Female,Sales,Los Angeles,40,40622,14
Female,Marketing,Los Angeles,40,57740,13
Female,,,28,65238,5
Other,Marketing,,64,24904,
None,Marketing,,19,40629,0
Male,Finance,Houston,23,26818,3
Male,Engineering,Houston,28,22437,5
Other,Marketing,Houston,32,58167,5
Female,,Phoenix,26,53167,1
Male,HR,Houston,29,41512,4
Other,HR,New York,53,35745,24
Other,HR,Chicago,45,33779,23
,Marketing,Los Angeles,40,52647,22
None,HR,None,44,46520,26
,Finance,New York,,,
Other,None,Houston,31,56262,7
Other,Marketing,Phoenix,52,54238,33
Other,Engineering,Houston,44,35440,23
Male,Sales,None,38,42886,
Male,Engineering,Los Angeles,30,62909,8
Other,Engineering,Los Angeles,25,61225,0
Female,Engineering,Phoenix,61,40157,34
Male,Engineering,None,61,74922,35
,Sales,Houston,61,47370,43
Male,HR,New York,51,61827,25
Male,,Phoenix,59,,37
Female,Finance,New York,40,47716,19
Other,Marketing,Houston,26,36265,0
Other,Marketing,Phoenix,18,25197,0
Female,Finance,New York,53,49363,27
Female,Engineering,Phoenix,63,45080,38
Other,Sales,Houston,33,66080,6
Other,,Phoenix,42,,13
Female,Marketing,Houston,,54031,13
Male,HR,Phoenix,51,43912,23
Male,Sales,Phoenix,55,35403,28
,Marketing,Los Angeles,20,62097,0
Male,HR,,37,40788,19
Female,None,Chicago,36,43487,10
Male,None,,30,,10
Male,Engineering,New York,34,24671,16
Other,None,Los Angeles,31,56797,9
Other,HR,None,47,48513,20
Male,,Phoenix,39,63773,19
None,None,Chicago,60,57634,37
Other,None,Los Angeles,,31325,36
Other,Finance,None,46,50048,18
Other,Marketing,None,19,49467,0
None,None,Phoenix,25,65165,
Male,Engineering,None,31,68495,12
Other,Engineering,Houston,51,24064,
Male,Sales,Houston,30,66479,6
Female,Finance,Chicago,27,64462,0
,None,New York,25,37823,3
None,HR,,24,49316,2
None,Sales,New York,30,18452,1
Male,Marketing,,43,49245,24
Other,,Phoenix,49,,25
Male,Engineering,Phoenix,,57813,17
Male,HR,Los Angeles,32,56199,3
Female,Sales,Phoenix,19,48589,0
Female,Engineering,Houston,54,52949,32
Female,Engineering,Houston,36,38151,16
Female,None,New York,50,33073,31
Female,,Houston,56,81715,36
Other,,Phoenix,50,,22
Male,Sales,Phoenix,18,51962,0
Male,Sales,Phoenix,56,46789,27
Male,Engineering,Chicago,45,86042,22
Male,Finance,Houston,34,75103,13
None,HR,None,23,45728,0
Male,Engineering,None,61,35440,42
None,HR,Houston,37,50786,14
Other,Finance,Chicago,,44329,38
Male,Marketing,Houston,30,35793,3
Male,Sales,New York,29,70579,7
None,HR,Phoenix,47,57865,26
Other,Engineering,Phoenix,38,43890,12
Female,HR,Chicago,19,43683,0
None,Marketing,Phoenix,35,50192,6
Female,,New York,45,42709,24
Female,,Chicago,21,41412,3
Female,Marketing,Los Angeles,59,80806,33
Female,Engineering,Phoenix,60,36320,33
None,Finance,Houston,23,16827,3
Male,Engineering,None,55,59814,32
Other,Sales,New York,26,66746,8
None,Engineering,Phoenix,37,52312,14
Other,Engineering,Los Angeles,62,25833,42
Other,Engineering,Houston,47,47961,
Female,Engineering,Los Angeles,54,42369,26
Male,Sales,Los Angeles,55,70056,31
Female,None,Phoenix,,37323,0
,HR,Houston,55,53457,29
Other,Finance,Phoenix,30,58969,7
Male,HR,,,37136,23
Male,HR,New York,,41075,29
Male,Finance,Phoenix,59,56499,33
Other,Sales,Chicago,21,1940,0
Other,Finance,Houston,42,70429,23
Male,Sales,New York,48,34829,28
Male,HR,Houston,64,50663,36
Female,Sales,New York,29,,7
,None,Chicago,32,69775,3
Female,Finance,Phoenix,43,50007,24
Male,Marketing,New York,,53208,0
Female,,New York,29,58390,0
Other,Finance,None,39,66348,
,HR,Chicago,57,33219,32
None,Marketing,Houston,38,45957,15
Male,HR,Chicago,52,68938,23
Male,Finance,New York,24,43413,5
,Finance,New York,35,70503,16
Male,HR,Phoenix,44,53091,26
Other,Finance,Chicago,52,43640,28
None,Finance,Chicago,64,60400,41
Male,HR,Los Angeles,19,47694,0
Other,Marketing,Houston,49,62752,27
,Finance,Los Angeles,32,42814,12
Male,Finance,Los Angeles,62,62850,37
Other,Finance,Houston,41,56562,21
Male,Finance,None,,44920,15
Other,None,Phoenix,27,22654,2
Female,Marketing,Houston,41,,12
,Marketing,Houston,41,66126,21
Female,None,Chicago,41,52883,19
,,None,57,16331,29
Female,Finance,Chicago,51,67095,28
Female,Sales,Chicago,58,55970,40
Other,Marketing,None,57,59266,38
Female,Engineering,New York,28,48806,4
Female,Engineering,Phoenix,43,21020,17
Other,None,New York,18,58707,0
Female,Finance,New York,47,46707,26
None,Engineering,None,60,39035,38
Female,HR,Chicago,35,76145,6
Other,HR,Houston,43,58829,
,,None,64,53284,36
Female,,Houston,26,37058,6
Female,Marketing,None,26,35180,0
Female,,,18,57528,0
Male,Finance,Chicago,24,20073,4
None,Marketing,New York,61,58262,42
,,Chicago,59,59186,34
Other,,New York,,70625,15
Female,Marketing,New York,55,64728,33
,Engineering,New York,28,67100,10
Male,Sales,Phoenix,42,41038,20
Female,Sales,New York,46,28015,26
Other,,Los Angeles,36,52634,10
Female,,Los Angeles,35,56652,6
Other,Sales,Los Angeles,64,65170,
Female,None,Houston,,72300,19
None,None,New York,33,,15
Male,HR,Los Angeles,,62853,
Female,Engineering,Houston,57,16341,37
Other,Sales,,25,54128,0
Male,HR,Chicago,51,60498,27
,,Phoenix,23,27101,0
Male,HR,New York,62,59359,40
Female,Marketing,,62,,43
,Finance,Phoenix,47,44091,19
Other,Finance,Chicago,61,62895,37
,HR,Chicago,51,45234,27
Other,Marketing,None,38,45003,
Female,Sales,Houston,29,54791,6
Female,HR,Los Angeles,23,61972,1
Other,Sales,New York,56,49984,38
,HR,Chicago,23,,5
Female,Sales,,21,,
Other,HR,New York,26,68489,2
Male,None,New York,22,57945,2
Female,Engineering,,27,60080,
Other,Finance,Chicago,64,,44
Female,Sales,,25,68244,0
Male,Marketing,Chicago,,51801,19
Female,Finance,Chicago,21,84684,
Female,Engineering,New York,54,53857,29
Female,Sales,,24,49697,3
Female,Finance,Phoenix,23,42289,0
Male,HR,Chicago,62,50072,34
Female,,Chicago,59,,
Female,Sales,None,32,61741,9
Other,Finance,New York,52,54421,27
Female,Sales,None,49,62836,28
Other,HR,New York,31,43364,8
Male,Engineering,Houston,52,42214,25
Male,Finance,Chicago,28,40594,9
Male,Sales,Houston,27,64821,
Male,None,Chicago,34,66320,5
Other,Sales,Houston,30,38018,4
Female,None,None,,39871,22
Male,Sales,Chicago,62,47962,35
Female,None,Chicago,22,,0
Other,Marketing,Houston,27,53531,4
Other,,,49,71538,26
Other,Marketing,Houston,29,55519,2
Male,,Chicago,30,65407,6
Female,Marketing,,38,30189,17
Female,None,Los Angeles,50,42450,26
None,HR,New York,58,21549,31
Other,Finance,,64,49064,46
Male,Engineering,New York,49,,25
Other,Sales,None,29,76560,0
Other,Engineering,Phoenix,63,55795,45
Female,None,,52,51211,24
Other,Engineering,,53,57206,28
Female,Sales,Los Angeles,55,32319,28
Male,Sales,Los Angeles,45,53658,22
Female,HR,Phoenix,30,17834,12
Male,,New York,29,11649,1
Female,,None,39,44804,10
Other,HR,New York,61,85607,43
Other,Sales,New York,,74994,0
Male,Marketing,New York,46,67174,25
Male,None,New York,,,6
Male,Sales,Houston,52,73388,30
None,Marketing,Houston,30,42318,8
Female,HR,Phoenix,51,32245,26
Male,Marketing,Houston,36,41443,17
,Finance,Los Angeles,26,25901,5
Female,Finance,Houston,48,83995,27
Female,Marketing,,50,58145,22
Female,HR,None,44,36939,19
Male,Sales,New York,,48811,39
Male,Engineering,Phoenix,19,48345,0
Male,Sales,New York,32,71522,6
Male,Engineering,New York,,83573,9
Male,Engineering,Houston,48,66278,22
Other,HR,Houston,33,61134,12
,Marketing,Los Angeles,60,54791,33
Male,Sales,,32,51737,8
Female,Marketing,Houston,23,51381,3
Male,Finance,Chicago,31,51708,8
Other,HR,Los Angeles,44,47031,26
Other,HR,Los Angeles,55,,33
Female,None,Chicago,36,34098,13
None,,Los Angeles,54,,25
Male,Finance,Phoenix,60,30330,31
Female,Sales,Phoenix,,41550,0
Male,Engineering,Chicago,43,48349,21
Male,HR,None,26,53900,2
,Sales,Phoenix,58,53639,29
Male,None,Chicago,,57416,36
Other,Marketing,None,,56134,10
Male,HR,New York,58,76902,
Female,Finance,Chicago,54,,28
Female,,None,21,44232,2
Female,Sales,Phoenix,,63784,25
Male,Finance,Los Angeles,35,47367,
Female,HR,Chicago,58,24927,29
Female,Sales,Phoenix,52,59974,23
,Engineering,Los Angeles,58,42084,
None,,Houston,58,39813,35
None,Finance,Houston,46,,
Female,Sales,New York,41,38681,
Female,Marketing,Chicago,21,77486,0
Male,Finance,Los Angeles,38,31921,20
None,HR,New York,56,47694,30
,Finance,Chicago,24,24673,4
,Engineering,,40,39025,17
Female,Finance,Los Angeles,57,,
Male,None,Phoenix,38,57748,
Female,Finance,Houston,18,27144,0
Other,Sales,Phoenix,58,71464,36
Female,Finance,Phoenix,42,30284,14
Female,Marketing,Los Angeles,48,34415,24
Other,Sales,Los Angeles,61,60117,33
Female,HR,Phoenix,55,78176,27
Male,Sales,New York,62,43450,35
Male,Engineering,Phoenix,22,58915,0
,Sales,None,48,,30
Other,HR,Los Angeles,18,,0
None,Finance,Chicago,47,48370,22
,,Houston,35,37584,16
,Sales,None,25,67105,7
Female,,New York,,,22
Other,Sales,Houston,57,42026,34
Male,HR,Los Angeles,32,13218,7
,Marketing,Los Angeles,36,39111,18
Male,Marketing,Chicago,27,68885,9
Other,,,41,48127,14
,HR,New York,,65352,14
Male,HR,Los Angeles,60,74774,34
Other,Sales,Chicago,48,59102,19
Male,Engineering,Los Angeles,61,66953,40
Male,Sales,Phoenix,33,41462,9
Female,Engineering,Phoenix,33,,13
,Sales,Chicago,45,46826,
Male,Engineering,Los Angeles,37,38499,19
Male,Engineering,Chicago,52,81718,34
Other,Sales,None,,49699,0
Female,Engineering,Los Angeles,,39311,
Female,Finance,None,27,56375,0
Male,Marketing,None,62,33713,42
Other,HR,None,35,31165,13
Female,Engineering,,62,46852,44
Other,Engineering,Chicago,,28398,42
Other,,,32,42883,11
Male,Engineering,Phoenix,62,30323,33
Female,HR,Houston,47,64704,24
Male,,Los Angeles,49,75268,
Female,Finance,None,57,29155,37
Female,Finance,Phoenix,44,81973,23
Female,Marketing,New York,44,61407,22
,Engineering,Los Angeles,36,53645,11
Female,Marketing,New York,27,27158,1
Other,Sales,Phoenix,61,,41
Male,Finance,None,63,49459,43
Other,Sales,Chicago,23,47410,0
Female,Sales,None,41,45578,15
Male,,New York,26,50730,8
Female,Sales,New York,,39283,26
,Finance,New York,24,46641,0
None,Marketing,New York,23,49933,4
Male,,Phoenix,50,88566,27
Male,None,,38,15954,18
Male,Finance,Phoenix,63,,34
Male,HR,Phoenix,55,51265,30
Male,Marketing,Los Angeles,61,50306,39
None,HR,Phoenix,34,55496,14
Male,HR,,48,79744,23
,Engineering,Chicago,54,55179,
,Sales,Phoenix,28,27580,9
Male,HR,Chicago,45,55389,23
Other,Finance,Phoenix,,47603,2
,Sales,Chicago,,40752,5
Male,Finance,Houston,,52805,1
Other,Finance,None,58,48230,32
None,Sales,Los Angeles,55,46593,36
Female,Sales,New York,19,48468,0
Male,None,Chicago,43,,24
Male,Engineering,New York,,60752,0
Other,Marketing,,29,47933,9
Male,Marketing,Houston,57,,37
Other,Engineering,Los Angeles,19,37017,0
Male,Sales,Los Angeles,58,,39
Other,None,Chicago,33,44424,11
Male,Marketing,Phoenix,,49565,18
Female,Finance,Houston,64,43835,36
Male,Engineering,New York,63,51287,41
Male,Finance,Phoenix,53,17710,
Female,Engineering,Houston,21,80056,
Male,Sales,Chicago,28,38507,3
Female,Engineering,Houston,41,32619,12
Male,,Los Angeles,35,67152,15
Other,Marketing,New York,,32557,21
Other,Finance,New York,54,53029,25
Male,,Los Angeles,19,32555,0
Male,,,32,45441,11
Male,Engineering,Los Angeles,28,,1
Other,HR,New York,44,38744,21
Male,Marketing,Chicago,64,63126,43
,Finance,Phoenix,40,,15
Female,Marketing,Houston,52,38519,26
Other,Finance,Chicago,47,51960,29
Other,Finance,Phoenix,64,30199,35
,Sales,New York,41,51586,23
None,None,New York,36,62315,15
Male,,Chicago,46,51689,23
Male,Finance,Phoenix,30,,5
Other,Marketing,,40,46159,11
Male,Marketing,Houston,29,42775,0
Other,Finance,None,58,46837,40
Male,HR,Chicago,46,40208,26
Male,Engineering,Phoenix,23,52595,0
,Engineering,Chicago,40,32002,19
Male,Sales,Houston,48,8182,21
Other,Sales,Phoenix,,65982,43
Male,Sales,New York,38,49126,12
Male,Engineering,None,41,51775,
Female,HR,Phoenix,25,38763,4
Female,Engineering,Chicago,61,,40
Other,Engineering,Chicago,,34010,8
Female,None,New York,39,67659,17
Other,,New York,21,,0
Female,,None,,26828,11
Male,Sales,Phoenix,,,33
Other,Marketing,Chicago,20,67026,0
Other,,,54,47261,32
None,,Chicago,45,72646,21
Other,Marketing,New York,43,54415,15
Other,Engineering,Phoenix,63,48121,
Female,HR,Los Angeles,51,48620,24
,HR,Phoenix,32,57487,13
,Sales,Los Angeles,25,66165,0
None,Marketing,Houston,52,57804,
Female,None,Los Angeles,41,53911,
Male,Engineering,Los Angeles,54,51065,32
,Sales,Houston,21,60519,0
None,HR,None,29,40439,10
Other,Marketing,Houston,36,27370,9
Female,Marketing,New York,32,52782,
Male,Sales,New York,47,34820,28
,,Los Angeles,,27607,40
Male,HR,Houston,54,74282,36
Female,None,Houston,,156,1
Other,Finance,,36,59364,14
Female,,Phoenix,,33875,29
Female,Engineering,Chicago,24,37961,0
Male,HR,,45,56480,22
None,HR,Chicago,45,84915,17
Male,Finance,Phoenix,46,60516,23
None,Sales,Houston,54,34705,
Other,Marketing,Chicago,37,49317,15
Male,None,Houston,28,45673,3
,Engineering,Los Angeles,56,18900,38
Female,Engineering,Chicago,59,50866,33
Male,Engineering,Los Angeles,40,39906,17
Other,Finance,,63,,37
Other,Marketing,New York,37,,18
Male,HR,Phoenix,37,73198,17
Male,Sales,Phoenix,,,10
Female,HR,,19,53201,0
,Marketing,Chicago,30,79478,11
Other,HR,None,30,54504,2
None,Finance,Chicago,,74657,40
Female,Engineering,New York,32,33040,
Other,Marketing,Phoenix,48,19738,20
Other,,None,40,53366,14
Female,HR,New York,39,68007,16
Female,Finance,Los Angeles,33,32799,5
Other,HR,New York,59,43409,31
None,HR,,46,24857,
Female,Marketing,Houston,37,49528,9
,HR,Chicago,45,49819,16
,Engineering,Phoenix,44,59139,18
Male,,Phoenix,61,,39
Female,Engineering,,46,46022,27
Female,None,Phoenix,,59423,1
Female,,,59,53236,
,,Los Angeles,55,56074,28
,Finance,Los Angeles,55,,31
Male,Finance,Chicago,61,60995,34
,,Chicago,19,81651,0
Male,Marketing,Los Angeles,62,56673,
Other,Sales,New York,37,56720,12
Male,Finance,Los Angeles,60,45437,38
Female,Finance,Chicago,64,,45
,Marketing,Houston,30,30748,1
Other,None,Phoenix,43,40723,17
Male,HR,Houston,52,66924,34
Male,Marketing,Houston,63,26738,41
Male,Finance,Phoenix,25,70943,0
Female,Engineering,Los Angeles,45,45496,16
Male,Sales,,58,36368,38
Female,HR,Houston,32,45853,7
Female,Engineering,New York,,58857,0
Male,Sales,Chicago,28,51321,0
Male,,Houston,46,78662,17
Male,Sales,Chicago,22,56528,4
Other,Engineering,None,64,57657,43
Male,HR,Houston,64,58094,35
Female,HR,Chicago,24,52073,0
Male,Sales,Chicago,35,46326,10
Other,Engineering,None,,51532,19
Male,Sales,New York,29,53433,3
Other,None,,29,49190,10
Other,None,Houston,53,68843,27
Male,Finance,Los Angeles,46,,21
None,Sales,Houston,,,0
Other,Marketing,New York,23,64533,0
Male,HR,Los Angeles,38,49713,12
Male,Engineering,Phoenix,27,45426,1
Female,HR,Los Angeles,49,60642,29
Other,Engineering,Los Angeles,64,54272,42
Other,Engineering,Phoenix,50,36553,22
Male,Sales,Chicago,34,62104,14
Male,Sales,Chicago,20,48707,0
None,HR,Chicago,60,61853,
Female,None,New York,35,49783,13
Other,,Los Angeles,27,62062,8
None,Finance,Phoenix,58,64208,38
Male,Engineering,New York,56,67937,32
Other,Engineering,,60,40842,33
,Sales,None,25,,0
Female,None,New York,51,47872,
Male,Sales,New York,54,32041,32
Female,Finance,Phoenix,58,52737,38
Female,HR,,50,47310,
Female,HR,New York,27,41248,4
None,Marketing,,57,50774,32
Male,Sales,Los Angeles,35,61278,6
,Sales,Houston,42,55028,18
Other,Finance,Houston,59,70008,30
Female,HR,,,48181,38
Other,Sales,Houston,53,56378,34
Male,Marketing,Phoenix,19,,0
None,HR,Phoenix,36,77900,14
,Finance,Chicago,27,34776,3
Male,Marketing,New York,20,41521,0
Male,Engineering,Houston,36,81226,
Male,Finance,New York,43,46669,24
Male,Marketing,New York,64,,36
None,Sales,New York,,79769,23
None,Engineering,Phoenix,34,35434,7
Male,Finance,New York,27,51474,0
Female,Sales,Houston,63,66163,41
Female,Engineering,Phoenix,28,63513,0
,,Houston,28,36862,6
Male,Sales,None,29,,
Other,Marketing,Los Angeles,57,57906,39
Male,,,25,49370,0
Female,Engineering,Los Angeles,41,35033,
,Sales,Los Angeles,31,57220,6
Female,HR,Phoenix,,72511,11
Female,Finance,,53,45743,31
Other,Finance,Chicago,34,23743,14
,None,Chicago,62,,42
,HR,Los Angeles,22,45013,0
Other,Engineering,New York,20,27128,0
Male,Sales,Houston,,57857,8
Female,Engineering,New York,37,61020,9
Male,Finance,,37,39264,9
Female,,Chicago,36,62652,16
Other,HR,None,38,36270,19
Male,None,New York,33,30031,8
Other,HR,Chicago,50,34176,23
Male,Engineering,New York,22,37580,0
Female,Sales,Houston,41,61832,18
Other,Finance,New York,32,58351,
Male,Marketing,Houston,43,36271,25
None,Sales,Los Angeles,61,39902,42
Other,Sales,New York,42,76544,23
,None,,45,62275,21
Male,Engineering,Chicago,50,28839,21
Male,HR,Los Angeles,,69897,39
Male,Engineering,New York,35,83845,12
Female,,Houston,,49612,10
Male,None,New York,55,45451,34
None,,Houston,50,43600,24
,Engineering,New York,44,45346,19
None,None,Los Angeles,32,,12
Male,Marketing,Los Angeles,61,40508,41
,Sales,New York,30,61478,1
Female,HR,None,51,50007,22
,HR,Phoenix,21,41153,0
Male,Sales,New York,52,55370,26
Other,Marketing,New York,36,46763,8
Male,None,None,48,40422,26
Female,HR,New York,42,49569,15
Other,Engineering,Chicago,57,49774,
,Finance,New York,29,42842,9
Other,Engineering,Phoenix,29,37773,1
Male,Marketing,,59,51348,37
Male,Engineering,Los Angeles,42,53100,21
Male,Finance,Chicago,50,55999,29
Female,Engineering,Houston,54,55519,36
None,Engineering,Chicago,45,69792,22
Other,Engineering,Los Angeles,60,33684,31
None,,Phoenix,26,73794,0
Male,Sales,Los Angeles,,29932,3
Female,None,Chicago,20,68717,0
Male,Finance,Chicago,22,57523,4
Female,Marketing,Los Angeles,,42260,16
Male,Sales,New York,58,13693,35
Other,None,Los Angeles,,27574,13
,Sales,Phoenix,55,40491,33
Male,Sales,Los Angeles,38,56687,19
Female,Engineering,Houston,,41986,38
Male,Marketing,,33,,9
Male,HR,Houston,57,43450,35
Female,Finance,Los Angeles,40,52527,20
Other,Sales,New York,,29241,23
Other,None,Houston,27,,7
Female,Sales,Houston,22,57893,0
Female,Sales,New York,28,87900,5
